Year,NewHouseRegistrations
1978,3781
1979,5565
1980,9609
1981,10785
1982,9448
1983,10830
1984,10422
1985,8819
1986,8249
1987,7099
1988,8297
1989,11627
1990,11346
1991,10658
1992,12748
1993,13666
1994,17822
1995,19727
1996,23769
1997,27080
1998,29067
1999,33852
2000,34613
2001,28845
2002,51017
2003,56859
2004,60782
2005,62284
2006,66649
2007,38351
2008,12676
2009,3743
2010,1680
2011,834
2012,627
2013,1326
2014,2574
2015,4297
2016,5626
2017,9466
2018,10265
2019,10784